Precincts,Borough,Crime,Latitude,Longitude
10,Manhattan,"ASSAULT 2,1,UNCLASSIFIED",40.747777093000025,-74.00039844299994
101,Queens,"BURGLARY,RESIDENCE,DAY",40.59853759300007,-73.74855959599995
41,Bronx,"ROBBERY,BEGIN AS SHOPLIFTING",40.819885621000026,-73.90122699799997
68,Brooklyn,"CONTROLLED SUBSTANCE,INTENT TO",40.624663129000055,-73.99932059099996
45,Bronx,ASSAULT 3,40.83854491300008,-73.84458288899998
30,Manhattan,"HARASSMENT,SUBD 3,4,5",40.826762949000056,-73.95126133499997
103,Queens,"HARASSMENT,SUBD 3,4,5",40.694199046000044,-73.78951091299997
114,Queens,"ROBBERY,NECKCHAIN/JEWELRY",40.76510045600002,-73.90411319899994
25,Manhattan,"WEAPONS, POSSESSION, ETC",40.80343468000007,-73.93308447999993
121,Staten Island,"LARCENY,PETIT FROM OPEN AREAS,",40.63319097600004,-74.15705302299993
88,Brooklyn,"ASSAULT 2,1,UNCLASSIFIED",40.69421996400007,-73.98211859699995
107,Queens,"NY STATE LAWS,UNCLASSIFIED FEL",40.71156433400005,-73.80296101499994
19,Manhattan,ASSAULT 3,40.77498199200004,-73.95386269599999
32,Manhattan,"ROBBERY,POCKETBOOK/CARRIED BAG",40.81241930300007,-73.94569406799998
50,Bronx,ASSAULT 3,40.871553006000056,-73.90239768799995
52,Bronx,AGGRAVATED HARASSMENT 2,40.86464556900006,-73.89415390399995
43,Bronx,"MISCHIEF, CRIMINAL 3 & 2, OF M",40.82273752700007,-73.86137018399995
110,Queens,SODOMY 1,40.74525274100006,-73.87006286999997
110,Queens,ASSAULT 3,40.74561005900005,-73.86808809099993
40,Bronx,OBSTR BREATH/CIRCUL,40.80919375100007,-73.92518927399993
73,Brooklyn,"LARCENY,PETIT FROM BUILDING,UN",40.66779260900006,-73.91025493099994
44,Bronx,"LARCENY,PETIT OF VEHICLE ACCES",40.838118200000046,-73.91423903099997
1,Manhattan,AGGRAVATED HARASSMENT 2,40.70732446800002,-74.00960648499995
9,Manhattan,"LARCENY,PETIT FROM OPEN AREAS,",40.72823406300005,-73.99050524199998
73,Brooklyn,"STOLEN PROPERTY-MOTOR VEH 2ND,",40.66716392800004,-73.91009356699995
46,Bronx,WEAPONS POSSESSION 1 & 2,40.85498940600007,-73.89996750499995
18,Manhattan,"LARCENY,GRAND FROM STORE-SHOPL",40.763320339000074,-73.97371790399995
113,Queens,"FORGERY,M.V. REGISTRATION",40.683785930000056,-73.76974550299997
105,Queens,ASSAULT 3,40.69555581200007,-73.74143564599996
43,Bronx,"ARSON 2,3,4",40.82541935900008,-73.86622081099993
44,Bronx,"LARCENY,PETIT OF LICENSE PLATE",40.82610257600004,-73.92306371599993
47,Bronx,LEAVING SCENE-ACCIDENT-PERSONA,40.89543712300008,-73.84462348799997
44,Bronx,"ASSAULT 2,1,UNCLASSIFIED",40.841584606000026,-73.91778363799993
106,Queens,"FRAUD,UNCLASSIFIED-FELONY",40.66386198800007,-73.84349041499998
20,Manhattan,"ASSAULT 2,1,UNCLASSIFIED",40.78615351500007,-73.97242333199993
49,Bronx,"CRIMINAL MISCHIEF 4TH, GRAFFIT",40.86997917300005,-73.856632785
34,Manhattan,AGGRAVATED HARASSMENT 2,40.85990148800005,-73.92819786199995
44,Bronx,"LARCENY,PETIT FROM STORE-SHOPL",40.83778161800007,-73.91945797099999
33,Manhattan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",40.840783858000066,-73.93625260699997
13,Manhattan,"BURGLARY,COMMERCIAL,NIGHT",40.73977318800007,-73.99298631899995
46,Bronx,RECKLESS ENDANGERMENT 1,40.84589001000006,-73.90565935499995
105,Queens,"ROBBERY,ATM LOCATION",40.66408150000007,-73.73427290099994
32,Manhattan,RAPE 3,40.81573205300003,-73.94542041099999
62,Brooklyn,"LARCENY,PETIT FROM OPEN AREAS,",40.60214447200008,-74.00918801699999
43,Bronx,"FORGERY,M.V. REGISTRATION",40.82855139400005,-73.84870746999997
73,Brooklyn,RAPE 1,40.670655072000045,-73.91339091999998
113,Queens,"MISCHIEF, CRIMINAL 4, OF MOTOR",40.70157414100004,-73.75737851299994
14,Manhattan,"FORGERY,ETC.,UNCLASSIFIED-FELO",40.754408117000025,-73.99185864599998
108,Queens,"SEXUAL ABUSE 3,2",40.74308016800006,-73.95473646099998
62,Brooklyn,"HARASSMENT,SUBD 3,4,5",40.597933606000026,-73.98719289599995
40,Bronx,"STOLEN PROPERTY 2,1,POSSESSION",40.810058310000045,-73.92514495299997
42,Bronx,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",40.82849393200007,-73.90554670999995
26,Manhattan,"BURGLARY,RESIDENCE,NIGHT",40.804384785000025,-73.96515182899999
120,Staten Island,AGGRAVATED HARASSMENT 2,40.63776876600008,-74.07648062699997
70,Brooklyn,"MENACING,UNCLASSIFIED",40.64782005200004,-73.96180654299998
73,Brooklyn,"HARASSMENT,SUBD 3,4,5",40.66892692300007,-73.92258173299997
94,Brooklyn,"LARCENY,PETIT FROM STORE-SHOPL",40.73197756800005,-73.95455276699995
